Time,u1,u2,u3,u4
1991-01-08 11:30,-2.0573,1.10275,-2.34106,-0.29783
1991-02-01 09:15,-0.44569,-0.11114,0.79621,-0.04737
1991-02-01 11:30,-0.65821,-0.00582,-0.22735,0.29327
1991-02-07 11:30,-0.00822,0.16006,0.09549,-0.42146
1991-03-08 11:30,-0.39746,0.32933,-1.47011,0.60595
1991-03-27 11:30,-0.30261,0.20124,-0.45217,0.11185
1991-04-30 09:30,-2.91494,1.94678,-3.39364,0.69188
1991-04-30 11:30,0.17561,-0.24354,0.68121,-0.38749
1991-05-15 11:30,0.28875,-0.19272,0.5776,-0.3514
1991-07-05 11:30,0.0021,0.16969,0.54863,0.33053
1991-08-06 11:30,-2.83921,1.26149,-1.10795,-0.01193
1991-08-21 11:30,1.90398,-1.16093,0.00775,0.39541
1991-09-13 09:10,-0.80683,1.00316,-0.80351,0.21975
1991-09-13 11:30,-0.00398,0.1223,0.29615,-0.12576
1991-10-02 11:30,-0.16506,0.08998,0.18039,-0.05193
1991-10-30 11:30,-0.45808,0.5039,-0.14785,0.128
1991-11-06 08:45,-1.53248,1.52765,-1.94292,-0.35882
1991-11-06 11:30,0.00048,-0.2507,0.36394,0.0151
1991-12-06 11:30,0.00184,0.21104,0.03023,0.20707
1991-12-18 11:30,0.73128,0.33019,-0.69376,0.23905
1991-12-20 08:30,-5.80565,-0.09173,-0.23607,-1.89947
1991-12-20 11:30,0.19434,0.30004,-0.54021,0.1028
1992-02-06 11:30,0.19439,0.21368,-0.47256,0.10865
1992-04-01 11:30,0.15348,0.12094,-0.04078,-0.22563
1992-04-09 11:30,-3.26195,-1.78759,1.25077,-0.15877
1992-05-20 11:30,-0.00144,0.86777,-0.9091,0.04486
1992-07-02 09:15,-1.29932,0.99146,0.23467,0.71892
1992-08-19 11:30,0.39701,0.19773,-0.42116,0.18388
1992-09-04 11:30,0.00068,-0.19975,0.56604,0.09717
1992-10-07 11:30,-0.00655,0.71907,-0.47688,-0.22858
1992-11-18 11:30,-0.75817,0.6961,-0.36047,0.43092
1992-12-23 11:30,0.59047,-0.31879,0.08736,-0.09994
1993-02-04 11:30,-0.00153,-0.00572,0.18331,-0.05314
1993-03-24 11:30,-0.00215,0.28764,0.05453,-0.00346
1993-05-19 11:30,-0.39136,-0.20741,-0.25721,-0.00054
1993-07-08 11:30,0.42342,-0.78955,-0.03338,0.44614
1993-08-18 11:30,-0.00078,0.30689,0.11602,0.10381
1993-09-22 11:30,0.00104,0.30615,-0.06633,0.17276
1993-11-17 11:30,0.35408,0.02033,-0.71367,-0.02089
1993-12-22 11:30,0.00062,-0.01216,-0.00726,0.03203
1994-02-04 11:05,2.48743,1.73502,-0.13411,0.54363
1994-03-22 14:20,0.00579,-0.56875,-1.26257,-0.16588
1994-04-18 10:06,2.27915,0.17732,1.06966,-0.12535
1994-05-17 14:26,1.70686,-2.27788,-1.69444,-0.1386
1994-07-06 14:18,-0.76693,0.58448,0.472,-0.32607
1994-08-16 13:18,1.90569,-1.1412,-1.19026,0.23108
1994-09-27 14:18,-1.38254,0.83313,0.89636,-0.1128
1994-11-15 14:20,1.82091,-0.49359,-0.38054,-0.79688
1994-12-20 14:17,-3.44882,2.29516,-0.27942,0.10099
1995-02-01 14:15,0.94695,0.66254,-0.17715,0.12869
1995-03-28 14:15,-0.15783,0.44197,0.08331,-0.13591
1995-05-23 14:15,-0.00086,0.18761,-0.01057,0.01087
1995-07-06 14:15,-1.71408,-2.70453,-0.94774,-2.1348
1995-08-22 14:15,0.52348,0.34319,0.34352,0.14093
1995-09-26 14:15,0.45786,0.64567,0.41778,0.3898
1995-11-15 14:15,0.61216,0.08908,0.14331,0.23336
1995-12-19 14:15,-1.37877,-0.13525,-0.2659,-0.16342
1996-01-31 14:15,-0.46001,-0.61262,0.18684,-0.37383
1996-03-26 11:39,0.31418,0.32385,-0.15674,0.67282
1996-05-21 14:15,0.23172,0.17866,0.29228,-0.13834
1996-07-03 14:15,-1.01286,-0.02894,0.25435,0.02925
1996-08-20 14:15,-0.75912,0.56022,0.36192,-0.14263
1996-09-24 14:15,-1.99464,0.14143,-0.00448,-0.75937
1996-11-13 14:15,0.00802,-0.33412,-0.32112,0.28428
1996-12-17 14:15,-0.00103,0.55878,-0.22504,0.10905
1997-02-05 14:15,-0.47555,0.65901,0.42907,-0.35644
1997-03-25 14:15,0.7544,1.22126,0.19242,0.0643
1997-05-20 14:15,-1.49522,-0.18777,0.04614,0.44769
1997-07-02 14:15,-0.40341,-0.14753,0.03102,0.18669
1997-08-19 14:15,-0.01235,0.33692,0.45109,-0.52047
1997-09-30 14:13,-0.23618,0.07665,0.49746,-0.31724
1997-11-12 14:12,-0.78031,0.49682,-0.17567,-0.9689
1997-12-16 14:15,0.15467,-0.19802,0.0837,-0.23272
1998-02-04 14:12,0.53008,0.03445,0.13667,-0.16372
1998-03-31 14:12,-0.11949,0.12735,0.20422,-0.21991
1998-05-19 14:15,-0.59894,0.10795,0.22495,-0.41713
1998-07-01 14:15,0.15932,0.00039,-0.11128,0.08943
1998-08-18 14:12,0.18425,-0.26837,0.11086,0.07656
1998-09-29 14:15,0.89361,0.14811,0.047,-1.22537
1998-10-15 15:15,-2.46136,-4.05198,-0.81168,1.19063
1998-11-17 14:15,-1.03698,0.91851,-1.15396,1.22611
1998-12-22 14:15,-0.53175,0.3815,0.14998,-0.23103
1999-02-03 14:15,0.09352,0.06364,0.15308,0.56867
1999-03-30 14:15,-0.08417,-0.73936,0.70442,-0.62436
1999-05-18 14:15,-0.40594,2.96833,1.575,-1.04601
1999-06-30 14:15,-0.71532,-2.25773,-1.25223,1.68333
1999-08-24 14:15,0.67155,-0.70413,-0.67001,1.02584
1999-10-05 14:15,-0.75337,2.32079,0.86739,-0.49058
1999-11-16 14:15,1.14177,1.12946,-0.23111,0.31654
1999-12-21 14:15,0.25918,0.14095,0.38597,1.57106
2000-02-02 14:15,-0.91334,1.35041,0.60063,-0.1124
2000-03-21 14:15,-0.47641,0.66129,-0.47823,-0.08821
2000-05-16 14:15,0.61295,1.0294,0.18907,-0.59106
2000-06-28 14:15,-0.29832,-0.91948,0.42026,0.13227
2000-08-22 14:15,0.25875,-0.05835,0.34889,-0.17082
2000-10-03 14:15,-0.00455,0.85184,0.36684,0.15165
2000-11-15 14:15,-0.17917,0.71149,-0.21924,-1.42198
2000-12-19 14:15,0.97052,0.01219,0.57719,-0.71287
2001-01-03 13:15,-5.76525,0.37034,-0.0493,8.88541
2001-01-31 14:15,0.44157,0.19457,0.38495,-0.80161
2001-03-20 14:15,0.83874,-1.30661,0.89094,-1.57535
2001-04-18 10:55,-7.00705,-0.59322,0.31936,2.46802
2001-05-15 14:15,-1.47449,-1.22315,0.67592,-0.20889
2001-06-27 14:12,1.51494,0.88963,-0.76214,-0.39711
2001-08-21 14:15,0.68661,-0.54838,0.92558,-1.3738
2001-10-02 14:15,-0.5047,-0.43126,1.10975,-0.89298
2001-11-06 14:20,-2.08789,-1.05505,0.27652,0.12883
2001-12-11 14:14,-0.11382,-1.46245,-0.01228,-0.32971
2002-01-30 14:15,0.26623,0.13326,-0.45767,-0.08733
2002-03-19 14:15,-0.51134,-0.29427,-0.30014,-1.37969
2002-05-07 14:15,0.0862,-0.3891,0.18273,-0.87452
2002-06-26 14:15,0.05986,0.19394,0.59229,-0.79294
2002-08-13 14:15,0.49874,-1.7842,0.36664,-2.26044
2002-09-24 14:15,0.26783,0.32585,0.11495,-2.13479
2002-11-06 14:14,-3.18292,1.62008,-0.47749,-1.88877
2002-12-10 14:15,-0.00963,0.48012,0.19541,-0.35506
2003-01-29 14:16,0.12416,0.63583,0.07311,0.88588
2003-03-18 14:15,0.34781,-0.11793,-0.13389,-1.05422
2003-05-06 14:13,0.23595,-2.18293,0.34092,-0.82309
2003-06-25 14:15,2.02655,0.31881,-0.094,0.5383
2003-08-12 14:15,0.05559,-0.72575,-0.40383,-0.80075
2003-09-16 14:19,-0.07963,-0.18979,-0.21517,-0.00025
2003-10-28 14:15,-0.04863,-1.98831,-0.73142,-1.63532
2003-12-09 14:15,-0.04872,0.94077,2.1199,1.19686
2004-01-28 14:15,-0.01568,3.99673,2.04971,1.14245
2004-03-16 14:15,-0.00898,-1.27727,-0.66762,-1.23566
2004-05-04 14:15,-0.11686,-0.29243,0.56099,0.90751
2004-06-30 14:15,-0.10416,-0.35151,0.49773,0.60675
2004-08-10 14:15,0.21775,1.01809,-0.15689,-0.07257
2004-09-21 14:15,-0.00165,-0.10543,-0.79959,-0.33726
2004-11-10 14:15,0.00142,-0.68848,-0.2373,-0.24855
2004-12-14 14:15,0.00091,-0.18626,-0.33056,-0.09866
2005-02-02 14:15,-0.08332,-0.08376,-0.39219,-0.20962
2005-03-22 14:15,-0.0023,1.26747,2.16957,0.89323
2005-05-03 14:15,0.00748,0.5402,-0.30592,0.60939
2005-05-03 16:00,0.01395,-0.72829,-0.63965,0.4153
2005-06-30 14:15,-0.01336,1.27989,-0.50248,-0.42919
2005-08-09 14:15,0.00582,-0.45273,-0.36268,0.09
2005-09-20 14:15,0.45396,0.27037,-0.49654,-0.21439
2005-11-01 14:15,0.00853,0.10406,-0.22711,0.51642
2005-12-13 14:15,0.01697,-0.87209,-0.31434,0.62256
2006-01-31 14:14,0.07173,0.67416,0.53525,0.12468
2006-03-28 14:15,0.05824,1.19007,0.66415,-0.47162
2006-05-10 14:15,-0.00257,1.13278,0.30847,0.37438
2006-06-29 14:15,-0.21227,-1.08197,0.08193,0.59521
2006-08-08 14:15,-0.62935,-0.07722,0.48789,-0.72702
2006-09-20 14:15,-0.00835,0.56992,0.09391,-0.26396
2006-10-25 14:15,-0.08067,0.1617,-0.49766,-0.33019
2006-12-12 14:15,-0.05637,-1.04686,-0.10227,-0.0885
2007-01-31 14:15,0.01636,-0.42056,-0.4762,0.72937
2007-03-21 14:15,-0.09474,-2.10245,-0.24384,0.5378
2007-05-09 14:15,-0.00231,0.87629,-0.06272,0.19729
2007-06-28 14:15,-0.00895,0.51313,0.04527,-0.33575
2007-08-07 14:15,0.05804,-0.17694,0.95994,-2.347
2007-08-10 09:15,0.12566,0.95113,-0.04013,-2.29363
2007-08-17 08:15,0.54767,-1.54765,1.02671,2.1898
2007-09-18 14:15,-3.21118,-1.65522,1.237,1.34759
2007-10-31 14:15,-0.39361,1.93933,-0.14388,-0.02603
2007-12-11 14:15,0.51999,-1.8131,1.04908,-4.86361
2008-01-30 14:15,-1.61703,-0.60862,0.84576,1.28914
2008-03-11 08:30,1.01105,0.42784,0.19329,4.31402
2008-03-18 14:15,1.42516,-0.04163,-0.28255,-1.85996
2008-04-30 14:15,-0.91372,0.00082,0.23692,0.1076
2008-06-25 14:15,-0.23236,-1.65437,0.90293,-0.68593
2008-08-05 14:15,-0.06333,-0.51115,0.59143,0.23243
2008-09-16 14:15,1.58232,1.53536,-0.51763,-0.11344
2008-10-29 14:17,-0.77371,0.75188,-0.65877,-2.93432
2008-11-25 08:15,-0.0187,-1.31357,-1.01158,2.7893
2008-12-16 14:15,-2.09196,-1.477,-3.0337,0.79949
2009-01-28 14:15,-0.00638,-0.16612,0.71852,-0.2906
2009-03-18 14:15,-0.00709,0.08457,-11.32488,-0.30924
2009-04-29 14:15,-0.00979,-0.32604,1.55065,1.99544
2009-06-24 14:15,0.06008,0.7603,2.58082,-0.07175
2009-08-12 14:15,-0.00853,-0.26061,1.01674,-0.39057
2009-09-23 14:15,-0.10276,-1.90942,-0.56989,-0.19529
2009-11-04 14:15,-0.03998,-1.09278,1.59882,0.18327
2009-12-16 14:15,-0.27625,0.09261,0.99448,0.23476
2010-01-27 14:15,0.0074,0.99536,-0.07725,0.84429
2010-03-16 14:15,-0.07535,-0.83183,-0.20673,-0.17302
2010-04-28 14:15,0.00671,-0.30254,0.36757,0.38121
2010-06-23 14:15,0.08862,-0.4281,-0.16093,0.55696
2010-08-10 14:15,0.0762,-0.19126,-2.34119,0.59727
2010-09-21 14:15,0.14752,-0.70434,-0.52764,0.86128
2010-11-03 14:15,0.11737,-0.05905,0.60897,-0.47243
2010-12-14 14:15,0.00015,-0.38222,0.35275,-0.06094
2011-01-26 14:15,-0.00318,-0.63071,0.79505,-0.26237
2011-03-15 14:15,0.01279,0.27228,0.24422,0.96197
2011-04-27 12:30,0.00436,-0.49025,-0.2784,0.00461
2011-06-22 12:30,0.00601,0.16839,0.35686,0.52656
2011-08-09 14:15,-0.03899,-1.04291,0.09805,-2.81666
2011-09-21 14:15,0.23391,1.41152,-0.90691,-0.89578
2011-11-02 12:30,-0.00376,0.34115,0.19614,-0.04723
2011-12-13 14:15,-0.02971,0.80701,-0.01901,-1.51859
2012-01-25 12:30,0.00599,-0.1952,-1.80172,-0.14067
2012-03-13 14:15,0.00364,-0.1666,1.10505,0.4235
2012-04-25 12:30,0.00053,-0.13057,0.55433,0.11288
2012-06-20 12:30,0.05568,0.69449,-1.11577,-0.07782
2012-08-01 14:15,0.15497,0.27985,0.68045,0.12343
2012-09-13 12:30,0.23054,-0.53983,1.551,1.93462
2012-10-24 14:15,-0.00075,-0.01303,-0.21284,-0.10316
2012-12-12 12:30,0.01566,-0.4499,0.49321,0.90647
2013-01-30 14:15,-0.00384,-0.01929,-0.21776,-0.29806
2013-03-20 14:00,0.00351,-0.12207,-0.14037,0.13431
2013-05-01 14:00,0.04549,-0.23314,0.36281,0.37475
2013-06-19 14:00,0.10726,-0.04887,1.74702,0.60489
2013-07-31 14:00,-0.00345,0.10383,-0.83104,-0.37141
2013-09-18 14:00,0.026,-0.50595,-4.16588,0.40579
2013-10-30 14:00,-0.00705,0.05965,1.49469,-0.05405
2013-12-18 14:00,0.02634,-0.79,-0.41906,1.2116
2014-01-29 14:00,0.06115,0.33732,-0.20842,-0.84677
2014-03-19 14:00,-0.00134,1.021,1.004,0.57226
2014-04-30 14:00,0.00131,-0.09691,0.31754,0.11808
2014-06-18 14:00,0.01218,0.00339,-0.20708,0.7069
2014-07-30 14:00,0.01319,-0.33216,-0.50713,0.56102
2014-09-17 14:00,0.01237,0.43501,0.2348,1.00001
2014-10-29 14:00,-0.00698,0.97399,0.39279,0.05725
2014-12-17 14:00,0.02309,-1.99913,0.25004,0.68005
2015-01-28 14:00,0.06548,-0.03348,-0.33082,-0.7583
2015-03-18 14:00,-0.00037,-2.53762,-0.80551,1.56968
2015-04-29 14:00,0.00336,-0.0655,-0.03908,0.17248
2015-06-17 14:00,-0.08158,-1.06352,-0.79139,-0.22722
2015-07-29 14:00,-0.07333,-0.28249,-0.21109,0.01346
2015-09-17 14:00,-0.88275,-0.56541,-0.25295,-0.50301
2015-10-28 14:00,-0.0181,1.48389,0.22865,-0.46515
2015-12-16 14:00,0.39969,-0.0102,-0.77833,0.17999
2016-01-27 14:00,-0.01628,-0.3995,-0.01019,-1.17356
2016-03-16 14:00,-0.23564,-1.63406,-0.76046,-0.80766
2016-04-27 14:00,0.00946,0.16821,-0.33809,0.57364
2016-06-15 14:00,-0.0436,-1.02715,0.14501,-0.7227
2016-07-27 14:00,-0.06944,0.06994,-0.48792,0.331
2016-09-21 14:00,-0.63117,-0.49887,-0.48478,-0.0727
2016-11-02 14:00,-0.03852,0.15285,-0.14771,0.17096
2016-12-14 14:00,-0.07154,1.19839,1.20595,0.64973
2017-02-01 14:00,-0.03552,-0.70704,0.13077,-0.01006
2017-03-15 14:00,0.07853,-1.49665,-0.48427,-0.42861
2017-05-03 14:00,0.00318,0.16597,0.32803,0.34318
2017-06-14 14:00,0.28734,0.37582,-0.08282,0.22879
2017-07-26 14:00,-0.00109,-0.30336,-0.26084,-0.25345
2017-09-20 14:00,-0.00118,0.83766,0.50957,0.38919
2017-11-01 14:00,-0.03595,-0.00813,0.12735,0.24612
