Time,u1,u2,u3,u4
2017-12-13 14:00,0.00136,-0.29953,-0.18535,-0.08191
2018-01-31 14:00,-0.07909,0.17405,0.3868,-0.01495
2018-03-21 14:00,0.01388,-0.61455,0.71471,0.7824
2018-05-02 14:00,-0.03702,-0.33671,-0.17028,0.05039
2018-06-13 14:00,-0.13646,0.90547,0.31977,0.31913
2018-08-01 14:00,0.00049,0.02032,-0.14522,0.00397
2018-09-26 14:00,0.16118,-0.33561,-0.05686,0.39285
2018-11-08 14:00,0.05626,0.04052,-0.01414,0.27838
2018-12-19 14:00,0.36031,0.6704,-0.26217,-1.86132
2019-01-30 14:00,0.02569,-1.2549,-0.24656,1.02416
2019-03-20 14:00,0.01306,-1.33393,-0.75559,0.0865
2019-05-01 14:00,-0.39108,-0.80779,0.06769,-0.14891
2019-06-19 14:00,0.94335,-2.31002,0.19503,-0.38919
2019-07-31 14:00,0.60791,0.26725,-0.51328,-0.12495
2019-09-18 14:00,0.51591,0.623,0.28773,-0.18109
2019-10-11 11:00,-0.11175,-0.23986,0.02495,0.30395
2019-10-30 14:00,-0.18551,0.31425,-0.27544,0.37263
2019-12-11 14:00,0.00555,-0.25968,-0.07549,0.22024
2020-01-29 14:00,0.23059,-0.0855,-0.15842,0.04831
2020-03-03 10:00,-3.90245,0.65618,-0.35897,0.18043
2020-04-29 14:00,-0.4655,0.41122,0.34859,-0.25963
2020-06-10 14:00,0.02026,-0.51571,-0.54591,0.91575
2020-07-29 14:00,0.07843,-0.11546,-0.21765,0.03838
2020-09-16 14:00,-0.06704,-0.32622,0.03585,0.78517
2020-11-05 14:00,0.00144,-0.09997,0.1443,0.08314
2020-12-16 14:00,-0.08338,0.00076,0.82486,-0.08567
2021-01-27 14:00,0.02589,0.21758,0.14772,-0.63356
2021-03-17 14:00,-0.06729,-0.55152,-0.56244,0.70455
2021-04-28 14:00,-0.07483,-0.05335,-0.06411,0.04864
2021-06-16 14:00,0.39735,0.23494,1.69681,-0.17807
2021-07-28 14:00,0.00758,-0.03815,0.10143,0.4787
2021-09-22 14:00,0.01351,-0.15585,-0.30639,0.7007
2021-11-03 14:00,0.0097,-0.0606,0.16895,0.61732
2021-12-15 14:00,-0.04925,0.24187,-0.27867,1.55156
2022-01-26 14:00,-0.15987,0.05454,0.68723,-0.2743
2022-03-16 14:00,-0.33763,2.91835,-0.40022,-0.31105
2022-05-04 14:00,-0.31606,-0.51735,0.09793,-0.79679
2022-06-13 15:15,1.24029,1.81614,-0.39378,0.40815
2022-06-15 14:00,0.68684,0.58719,-0.35149,0.21218
2022-07-27 14:00,-0.22772,0.16393,-0.04492,0.11205
2022-09-21 14:00,-0.55611,3.35195,-0.87314,-1.83061
2022-11-02 14:00,-0.02103,-2.04012,-0.18713,0.35558
2022-12-14 14:00,-0.03708,2.48984,-0.11137,-1.31493
2023-02-01 14:00,-0.11284,0.41321,-0.16687,0.48376
2023-03-22 14:00,0.53364,-2.5113,0.96913,-0.24737
2023-05-03 14:00,0.21714,-0.16027,0.17945,0.36189
2023-06-14 14:00,-0.30516,3.21918,-0.42697,0.00341
2023-07-26 14:00,0.00321,0.10706,-0.256,0.18105
2023-09-20 14:00,-0.11668,1.5337,-0.1508,0.43982
2023-11-01 14:00,-0.03979,-0.24612,0.12632,-0.08904
2023-12-13 14:00,-0.05192,-3.0349,-0.3316,-0.45769
2024-01-31 14:00,0.02784,0.38386,0.11333,-0.45319
2024-03-20 14:00,0.00866,-0.77622,0.65041,0.37783
2024-05-01 14:00,0.00322,-0.3115,-0.11865,0.0449
2024-06-12 14:00,0.00058,0.36371,-0.05235,0.17101
2024-07-31 14:00,0.04469,0.20943,-0.0446,0.48269
2024-09-18 14:00,-1.80833,-0.88434,0.59653,-0.1115
